"Player","Squad","Nation","Pos","Pos2","Age","Born","Total_Match_Played","Total_Playing_Time","Minutes_Per_Match_Played","Percent_of_Squad_Minutes_Played","Matches_Started","Minutes_Per_Match_Start","Complete_Matches_PLayed","Matches_Played_As_Substitute","Minutes_Per_Match_Substitute","Player_Points_Per_Match","Player_On_Pitch_Squad_Goals","Player_On_Pitch_Goals_Allowed","Weekly_Wages","Annual_Wages"
"Cédric Bakambu","Marseille","COD","FW",NA,30,1991,12,356,30,10.4,5,57,0,7,10,2.25,11,10,92308,4800000
"Cengiz Ünder","Marseille","TUR","FW","MF",24,1997,32,2200,69,64.3,25,81,10,7,26,1.81,40,22,104808,5450000
"Charles Traore","Nantes","MLI","DF",NA,29,1992,16,718,45,21,7,88,5,9,11,1.5,11,10,10385,540000
"Cheick Doucouré","Lens","MLI","MF",NA,21,2000,34,2946,87,86.1,33,88,28,1,28,1.62,52,39,4038,210000
"Cheikh Tidiane Sabaly","Metz","SEN","FW","MF",22,1999,6,150,25,4.4,2,58,0,4,9,1,4,2,1154,60000
"Chrislain Matsima","Monaco","FRA","DF",NA,19,2002,7,134,19,3.9,1,45,0,6,15,1.86,1,2,7308,380000
"Christopher Wooh","Lens","CMR","DF",NA,19,2001,14,1050,75,30.7,11,89,9,3,24,1.07,16,17,2692,140000
"Colin Dagba","Paris S-G","FRA","DF",NA,22,1998,3,165,55,4.8,2,70,0,1,26,2.33,3,2,11346,590000
"Corentin Jean","Lens","FRA","FW","MF",26,1995,17,255,15,7.5,1,72,0,16,11,1.12,7,5,6154,320000
"Damien Da Silva","Lyon","FRA","DF",NA,33,1988,17,1126,66,32.9,13,79,8,4,24,1.82,20,9,20577,1070000
"Dango Ouattara","Lorient","BFA","MF","FW",19,2002,25,812,32,23.7,7,76,3,18,16,0.8,7,18,769,40000
"Danilo Pereira","Paris S-G","POR","MF",NA,29,1991,27,2038,75,59.6,22,88,19,5,21,2.33,57,24,30192,1570000
"Dante","Nice","BRA","DF",NA,37,1983,34,2870,84,83.9,33,86,29,1,45,1.79,44,30,28846,1500000
"Danylo Ihnatenko","Bordeaux","UKR","MF",NA,24,1997,11,692,63,20.2,7,90,7,4,16,1,12,13,577,30000
"David Costa","Lens","POR","MF","FW",20,2001,33,1464,44,42.8,16,74,1,17,16,1.48,25,21,577,30000
"Deiver Machado","Lens","COL","DF","MF",27,1993,22,523,24,15.3,5,68,1,17,11,1.68,13,6,6538,340000
"Denis Bouanga","Saint-Étienne","GAB","FW","MF",26,1994,34,2436,72,71.2,28,80,12,6,33,0.85,33,62,25769,1340000
"Dennis Appiah","Nantes","FRA","DF",NA,29,1992,32,2099,66,61.4,22,87,19,10,18,1.5,31,27,18462,960000
"Dimitri Liénard","Strasbourg","FRA","DF","MF",33,1988,33,2044,62,59.8,23,81,11,10,18,1.7,35,28,11731,610000
"Dimitri Payet","Marseille","FRA","FW","MF",34,1987,31,2592,84,75.8,28,89,22,3,37,1.87,45,30,115385,6e+06
"Dimitry Bertaud","Montpellier","COD","GK",NA,23,1998,11,833,76,24.4,9,90,9,2,12,0.82,14,20,1923,1e+05
"Dion Lopy","Reims","SEN","MF",NA,19,2002,26,1642,63,48,19,78,9,7,22,1.23,16,23,1923,1e+05
"Djibril Sidibé","Monaco","FRA","DF",NA,29,1992,17,949,56,27.7,12,71,6,5,19,1.53,17,13,61731,3210000
"Domagoj Bradarić","Lille","CRO","DF",NA,21,1999,15,417,28,12.2,2,90,2,13,18,1.4,7,6,9808,510000
"Duje Ćaleta-Car","Marseille","CRO","DF",NA,24,1996,26,2057,79,60.1,24,84,17,2,17,1.65,33,25,38846,2020000
