"Player","Squad","Nation","Pos","Pos2","Age","Progression_Carries","Progression_Passes_Delivered","Progression_Passes_Recived","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Key_Passes","Passes_Into_Penalty_Area","Crosses_Into_Penalty_Area","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Bertrand Traoré","Lyon","BFA","FW","MF",23,36,52,132,433,584,74.1,217,251,86.5,49,91,53.8,144,192,75,26,21,6,511,69,22,2,8,77,10,35,4,820,62,33,53.2,29,46.8
"Bilal Benkhedim","Saint-Étienne","FRA","MF","FW",18,4,7,3,49,66,74.2,23,30,76.7,2,6,33.3,20,22,90.9,5,3,1,60,6,2,0,0,8,0,4,0,80,2,0,0,2,100
"Bongani Zungu","Amiens","RSA","MF",NA,26,6,47,4,434,545,79.6,216,246,87.8,44,73,60.3,163,205,79.5,2,2,1,529,16,14,1,6,3,0,0,0,668,6,4,66.7,2,33.3
"Boubacar Kamara","Marseille","FRA","DF","MF",19,9,87,3,1120,1307,85.7,532,577,92.2,121,189,64,436,497,87.7,7,5,0,1256,51,50,2,12,0,1,0,0,1549,24,14,58.3,10,41.7
"Boubakary Soumaré","Lille","FRA","MF",NA,20,21,74,21,677,758,89.3,303,332,91.3,74,92,80.4,262,282,92.9,12,4,0,741,16,14,0,5,3,1,0,1,863,23,20,87,3,13
"Boulaye Dia","Reims","SEN","FW",NA,22,32,21,115,236,325,72.6,148,181,81.8,8,12,66.7,71,98,72.4,29,9,0,290,32,2,1,0,4,1,0,3,550,48,22,45.8,26,54.2
"Bouna Sarr","Marseille","SEN","DF","FW",27,103,93,142,1092,1357,80.5,687,760,90.4,47,105,44.8,302,378,79.9,14,25,11,1136,220,25,0,4,100,185,10,1,1677,86,49,57,37,43
"Brendan Chardonnet","Brest","FRA","DF",NA,24,8,42,2,483,553,87.3,136,144,94.4,94,126,74.6,252,273,92.3,2,2,0,542,11,11,0,9,2,0,0,0,651,2,2,100,0,0
"Bruno Ecuele Manga","Dijon","GAB","DF",NA,31,5,48,1,1151,1366,84.3,298,344,86.6,181,272,66.5,662,725,91.3,5,6,0,1307,57,52,0,6,2,5,0,2,1629,7,6,85.7,1,14.3
"Bruno Guimarães","Lyon","BRA","MF",NA,21,0,18,5,175,193,90.7,78,83,94,25,26,96.2,68,76,89.5,5,3,0,186,6,6,0,1,0,0,0,1,224,5,4,80,1,20
