"Player","Squad","Nation","Pos","Pos2","Age","Progression_Carries","Progression_Passes_Delivered","Progression_Passes_Recived","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Key_Passes","Passes_Into_Penalty_Area","Crosses_Into_Penalty_Area","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Andrea Rispoli","Crotone","ITA","DF",NA,31,15,18,46,224,324,69.1,107,128,83.6,21,43,48.8,87,116,75,10,7,7,266,57,5,0,2,30,50,2,1,393,7,2,28.6,5,71.4
"Andreas Cornelius","Parma","DEN","FW",NA,27,12,45,135,397,591,67.2,232,323,71.8,20,32,62.5,119,162,73.5,24,9,1,545,42,0,2,4,6,2,0,4,781,19,11,57.9,8,42.1
"Andreas Pereira","Lazio","BRA","FW","MF",24,17,32,53,187,286,65.4,83,100,83,26,54,48.1,72,102,70.6,13,6,0,243,40,13,1,7,49,3,21,3,358,17,7,41.2,10,58.8
"Andreas Skov Olsen","Bologna","DEN","FW","DF",20,61,29,119,407,546,74.5,231,263,87.8,25,61,41,127,172,73.8,20,10,5,505,38,6,0,5,66,5,26,3,710,39,17,43.6,22,56.4
"Andrés Tello","Benevento","COL","DF","MF",23,12,20,17,133,191,69.6,70,81,86.4,10,22,45.5,47,72,65.3,1,3,0,172,17,2,0,2,10,13,2,2,255,10,5,50,5,50
"Andrey Galabinov","Spezia","BUL","FW",NA,31,3,10,18,73,103,70.9,38,49,77.6,6,8,75,23,36,63.9,3,3,0,82,19,1,0,0,2,0,0,2,139,2,2,100,0,0
"Andri Fannar Baldursson","Bologna","ISL","MF",NA,18,1,6,8,54,73,74,28,33,84.8,1,6,16.7,25,31,80.6,1,2,0,69,4,2,0,1,0,0,0,0,106,2,1,50,1,50
"Ante Rebić","Milan","CRO","FW",NA,26,43,52,146,290,472,61.4,177,234,75.6,22,41,53.7,64,113,56.6,36,31,10,447,20,2,2,2,61,7,2,5,720,41,20,48.8,21,51.2
"Antonín Barák","Hellas Verona","CZE","MF",NA,25,64,147,101,1017,1311,77.6,523,629,83.1,67,104,64.4,395,476,83,24,26,2,1261,40,20,2,6,14,15,0,10,1598,41,27,65.9,14,34.1
"Antonino La Gumina","Sampdoria","ITA","FW",NA,24,5,3,28,45,67,67.2,27,35,77.1,2,3,66.7,15,22,68.2,1,1,0,59,7,1,0,0,4,0,0,1,120,6,5,83.3,1,16.7
