"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Andrés Martín","Rayo Vallecano","ESP","FW","MF",23,1,0,0,0,5
"Iván Martín","Girona","ESP","MF",NA,23,2,0,0,0,18
"Arnau Martinez","Girona","ESP","DF",NA,19,11,0,0,0,36
"Iñigo Martínez","Athletic Club","ESP","DF",NA,31,1,0,0,0,13
"Omar Mascarell","Elche","EQG","MF","DF",29,6,0,0,0,21
"Jordi Masip","Valladolid","ESP","GK",NA,33,4,0,0,0,0
"Jaime Mata","Getafe","ESP","FW","MF",33,5,0,0,0,17
"Borja Mayoral","Getafe","ESP","FW",NA,25,4,0,0,0,16
"Mamadou Mbaye","Cádiz","SEN","DF",NA,24,2,0,0,0,6
"Gonzalo Melero","Almería","ESP","MF",NA,28,5,0,0,0,24
"Memphis","Atlético Madrid","NED","FW",NA,28,1,0,0,0,2
"Memphis","Barcelona","NED","FW",NA,28,0,0,0,0,2
"Houboulang Mendes","Almería","GNB","DF",NA,24,2,0,0,0,13
"Brais Méndez","Real Sociedad","ESP","MF",NA,25,6,0,0,0,60
"Diego Méndez","Rayo Vallecano","ESP","MF",NA,18,0,0,0,0,0
"Ferland Mendy","Real Madrid","FRA","DF",NA,27,2,0,0,0,4
"Jorge Meré","Cádiz","ESP","DF",NA,25,0,0,0,0,1
"Mikel Merino","Real Sociedad","ESP","MF",NA,26,5,1,0,1,74
"Roque Mesa","Valladolid","ESP","MF",NA,33,11,1,1,2,38
"Éder Militão","Real Madrid","BRA","DF",NA,24,4,0,0,0,35
"Luis Milla","Getafe","ESP","MF",NA,27,6,1,1,2,29
"Pere Milla","Elche","ESP","FW","MF",29,7,0,0,0,19
"Marko Milovanović","Almería","SRB","FW",NA,18,1,0,0,0,2
"Óscar Mingueza","Celta Vigo","ESP","DF",NA,23,2,0,0,0,19
"Rafa Mir","Sevilla","ESP","FW",NA,25,1,0,0,0,23
"Juan Miranda","Betis","ESP","DF",NA,22,1,1,0,1,15
"Stefan Mitrović","Getafe","SRB","DF",NA,32,5,0,0,0,13
"Luka Modrić","Real Madrid","CRO","MF",NA,36,7,0,0,0,21
"Johan Mojica","Villarreal","COL","DF",NA,29,0,0,0,0,3
"Johan Mojica","Elche","COL","DF","MF",29,2,0,0,0,4
"Nahuel Molina","Atlético Madrid","ARG","DF",NA,24,7,1,0,1,22
"Jon Moncayola","Osasuna","ESP","MF","DF",24,6,0,0,0,35
"Monchu","Valladolid","ESP","MF",NA,22,10,0,0,0,46
"César Montes","Espanyol","MEX","DF",NA,25,6,0,0,0,18
"Gonzalo Montiel","Sevilla","ARG","DF",NA,25,8,1,0,1,19
"Martín Montoya","Betis","ESP","DF",NA,31,1,0,0,0,4
"Álvaro Morata","Atlético Madrid","ESP","FW",NA,29,4,0,0,0,39
"Jon Morcillo","Athletic Club","ESP","FW","MF",23,0,0,0,0,1
"Alberto Moreno","Villarreal","ESP","DF",NA,30,7,0,0,0,26
"Álex Moreno","Betis","ESP","DF",NA,29,1,0,0,0,17
"Diego Moreno","Osasuna","ESP","DF",NA,21,1,0,0,0,3
"Gerard Moreno","Villarreal","ESP","FW",NA,30,4,0,0,0,11
"Tete Morente","Elche","ESP","MF","DF",25,5,0,0,0,32
"Ilaix Moriba","Valencia","GUI","MF",NA,19,6,2,1,3,32
"Manu Morlanes","Villarreal","ESP","MF",NA,23,0,1,0,1,1
"Manu Morlanes","Mallorca","ESP","MF",NA,23,3,0,0,0,6
"Loren Morón","Betis","ESP","FW",NA,28,1,0,0,0,2
"Cristhian Mosquera","Valencia","ESP","DF",NA,18,0,0,0,0,0
"Abdul Mumin","Rayo Vallecano","GHA","DF",NA,24,2,0,0,0,7
