"Player","Squad","Nation","Pos","Pos2","Age","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Victorien Angban","Metz","CIV","MF",NA,23,36,24,66.6666666666667,42,42,40.5,17,4,13,19,9,1
"Houssem Aouar","Lyon","ALG","MF","FW",22,17,12,70.5882352941177,25,25,32,17,1,16,17,4,0
"Adil Aouchiche","Saint-Étienne","FRA","MF","FW",18,38,20,52.6315789473684,49,49,26.5,15,1,14,10,6,0
"Dennis Appiah","Nantes","FRA","DF",NA,28,55,34,61.8181818181818,59,59,54.2,23,6,17,25,43,0
"Luiz Araújo","Lille","BRA","MF",NA,24,38,25,65.7894736842105,28,28,28.6,23,1,22,11,3,0
"Karim Aribi","Nîmes","ALG","FW",NA,26,2,2,100,5,5,0,1,0,1,0,3,0
"Roger Assalé","Dijon","CIV","FW","MF",26,10,8,80,12,12,33.3,7,3,4,2,2,0
"Youcef Atal","Nice","ALG","DF","FW",24,25,12,48,26,26,50,10,2,8,26,12,0
"Jean-Kévin Augustin","Nantes","FRA","FW",NA,23,2,0,0,2,2,100,0,0,0,0,0,0
"Ludovic Baal","Brest","GUF","DF","MF",34,6,5,83.3333333333333,5,5,40,4,1,3,5,5,0
"Loïc Bade","Lens","FRA","DF",NA,20,57,34,59.6491228070175,55,55,54.5,43,17,26,74,135,2
"Benoît Badiashile","Monaco","FRA","DF",NA,19,24,17,70.8333333333333,28,28,46.4,21,12,9,58,102,4
"Stéphane Bahoken","Angers","CMR","FW",NA,28,9,6,66.6666666666667,12,12,33.3,9,0,9,9,9,0
"Mitchel Bakker","Paris S-G","NED","DF",NA,20,38,30,78.9473684210526,26,26,65.4,22,2,20,22,20,0
"Dilane Bakwa","Bordeaux","FRA","FW","MF",17,2,2,100,1,1,0,2,0,2,1,0,0
"Leonardo Balerdi","Marseille","ARG","DF",NA,21,29,18,62.0689655172414,31,31,45.2,17,9,8,28,65,3
"Fodé Ballo-Touré","Monaco","SEN","DF",NA,23,21,17,80.952380952381,13,13,46.2,7,0,7,6,11,1
"Abdoulaye Bamba","Angers","CIV","DF",NA,30,27,17,62.962962962963,28,28,67.9,7,1,6,19,34,0
"Jonathan Bamba","Lille","CIV","MF",NA,24,45,23,51.1111111111111,84,84,28.6,24,2,22,24,15,0
"Robson Bambu","Nice","BRA","DF",NA,22,16,11,68.75,14,14,78.6,8,7,1,10,57,0
"Simon Banza","Lens","COD","FW",NA,23,13,6,46.1538461538462,14,14,7.1,16,1,15,7,15,0
"Danilo Barbosa","Nice","BRA","DF",NA,24,6,3,50,6,6,66.7,2,1,1,2,11,2
"Melvin Bard","Lyon","FRA","DF",NA,19,12,8,66.6666666666667,11,11,54.5,10,2,8,6,14,0
"Toma Bašić","Bordeaux","CRO","MF",NA,23,33,22,66.6666666666667,58,58,27.6,21,5,16,32,42,1
"Cristian Battocchio","Brest","ITA","MF",NA,28,5,2,40,9,9,22.2,0,0,0,4,5,0
"Paul Baysse","Bordeaux","FRA","DF",NA,32,35,18,51.4285714285714,21,21,76.2,33,24,9,52,123,1
"Erwan Belhadji","Dijon","FRA","MF",NA,19,3,0,0,5,5,60,1,0,1,0,0,0
"Haris Belkebla","Brest","ALG","MF",NA,26,69,39,56.5217391304348,66,66,47,26,5,21,57,34,0
"Jean-Ricner Bellegarde","Strasbourg","FRA","MF","FW",22,56,39,69.6428571428571,23,23,60.9,20,2,18,19,16,0
"Hatem Ben Arfa","Bordeaux","FRA","MF","FW",33,11,7,63.6363636363636,9,9,22.2,3,0,3,2,0,0
"Wissam Ben Yedder","Monaco","FRA","FW",NA,29,18,9,50,13,13,23.1,16,0,16,13,3,0
"Darío Benedetto","Marseille","ARG","FW",NA,30,6,4,66.6666666666667,13,13,38.5,9,2,7,3,17,0
"Walter Benítez","Nice","ARG","GK",NA,27,1,1,100,3,3,33.3,1,0,1,1,7,2
"Loris Benito","Bordeaux","SUI","DF",NA,28,42,26,61.9047619047619,48,48,45.8,33,10,23,42,70,0
"Bilal Benkhedim","Saint-Étienne","FRA","FW",NA,19,0,0,NA,1,1,0,1,0,1,0,0,0
