"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Luis Muriel","Atalanta","COL","FW","MF",31,2,2,1,3,18
"Jeison Murillo","Sampdoria","COL","DF",NA,30,6,1,1,2,18
"Nicola Murru","Sampdoria","ITA","DF",NA,27,3,0,0,0,15
"Juan Musso","Atalanta","ARG","GK",NA,28,1,0,0,0,0
"Joakim Mæhle","Atalanta","DEN","DF","MF",25,5,1,0,1,16
"Michel Ndary Adopo","Torino","FRA","MF","DF",22,1,0,0,0,6
"Tanguy Ndombele","Napoli","FRA","MF",NA,25,5,0,0,0,15
"Ilija Nestorovski","Udinese","MKD","FW","MF",32,3,0,0,0,18
"Cyril Ngonge","Hellas Verona","BEL","MF","FW",22,2,0,0,0,13
"Hans Nicolussi Caviglia","Salernitana","ITA","MF",NA,22,2,0,0,0,13
"Dimitris Nikolaou","Spezia","GRE","DF",NA,23,9,1,0,1,27
"Bram Nuytinck","Udinese","NED","DF",NA,32,1,0,0,0,4
"Bram Nuytinck","Sampdoria","NED","DF",NA,32,4,0,0,0,23
