"Player","Squad","Nation","Pos","Pos2","Age","Progression_Carries","Progression_Passes_Delivered","Progression_Passes_Recived","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Key_Passes","Passes_Into_Penalty_Area","Crosses_Into_Penalty_Area","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Carlos Akapo","Cádiz","EQG","DF",NA,28,35,51,52,611,832,73.4,291,341,85.3,52,109,47.7,246,322,76.4,7,14,11,672,158,18,1,3,45,140,0,2,1084,21,12,57.1,9,42.9
"Carlos Bacca","Granada","COL","FW",NA,34,7,10,20,62,99,62.6,34,51,66.7,3,5,60,23,37,62.2,7,4,0,92,7,0,1,0,4,2,0,0,145,11,7,63.6,4,36.4
"Carlos Clerc","Levante","ESP","DF",NA,29,45,66,56,668,878,76.1,376,410,91.7,42,111,37.8,228,291,78.4,11,15,4,712,161,15,1,4,47,144,2,5,1032,33,23,69.7,10,30.3
"Carlos Dominguez","Celta Vigo","ESP","DF",NA,20,3,9,0,131,167,78.4,52,60,86.7,16,36,44.4,59,63,93.7,0,1,0,162,4,3,1,3,0,1,0,1,207,1,1,100,0,0
"Carlos Neva","Granada","ESP","DF",NA,25,27,37,89,676,955,70.8,371,424,87.5,57,135,42.2,232,326,71.2,13,20,17,699,252,18,0,2,84,234,0,4,1200,16,9,56.3,7,43.8
"Carlos Soler","Valencia","ESP","MF",NA,24,40,101,89,659,982,67.1,295,343,86,103,249,41.4,226,312,72.4,53,28,4,764,211,121,3,22,147,3,85,7,1222,38,19,50,19,50
"Carmona","Sevilla","ESP","DF",NA,19,1,1,1,7,13,53.8,2,5,40,2,2,100,3,5,60,0,0,0,8,5,1,0,0,0,4,0,0,14,1,1,100,0,0
"Casemiro","Real Madrid","BRA","MF",NA,29,23,162,30,1695,1989,85.2,782,857,91.2,227,288,78.8,630,743,84.8,26,21,4,1929,53,45,9,38,17,3,0,7,2354,27,19,70.4,8,29.6
"Catena","Rayo Vallecano","ESP","DF",NA,26,13,84,6,1393,1723,80.8,371,423,87.7,301,464,64.9,705,785,89.8,7,1,0,1620,96,94,2,36,2,2,0,7,2047,5,5,100,0,0
"Chapela","Cádiz","ESP","MF","FW",22,6,12,12,52,87,59.8,22,32,68.8,9,16,56.3,19,28,67.9,2,2,0,86,1,0,0,2,12,0,1,0,127,5,3,60,2,40
"Clément Grenier","Mallorca","FRA","MF",NA,30,1,2,2,29,41,70.7,15,18,83.3,0,3,0,13,17,76.5,1,0,0,39,2,1,0,0,2,0,1,0,48,1,0,0,1,100
"Clément Lenglet","Barcelona","FRA","DF",NA,26,19,80,1,743,820,90.6,265,285,93,80,111,72.1,381,392,97.2,2,2,0,802,16,12,2,13,1,4,0,2,893,2,1,50,1,50
"Coke","Levante","ESP","DF",NA,34,1,8,5,57,69,82.6,31,34,91.2,4,5,80,20,24,83.3,2,2,0,54,15,3,0,1,0,12,0,0,85,3,2,66.7,1,33.3
"Cristian Tello","Betis","ESP","FW",NA,29,31,25,86,273,362,75.4,153,187,81.8,15,26,57.7,96,123,78,16,10,3,355,5,1,0,2,16,2,2,2,486,27,10,37,17,63
"Cristiano Piccini","Valencia","ITA","DF",NA,28,5,14,10,95,141,67.4,34,42,81,20,44,45.5,39,49,79.6,2,3,3,107,34,0,0,6,8,34,0,0,184,10,9,90,1,10
"Cristo","Real Sociedad","ESP","DF",NA,21,1,0,1,10,11,90.9,5,5,100,1,2,50,3,3,100,1,1,1,9,2,0,0,0,2,2,0,0,14,2,0,0,2,100
"Damián Suárez","Getafe","URU","DF",NA,33,33,116,96,997,1475,67.6,481,564,85.3,121,284,42.6,382,555,68.8,46,39,26,1081,390,67,1,50,130,300,23,4,1767,42,15,35.7,27,64.3
"Dani Alves","Barcelona","BRA","DF",NA,38,33,72,25,915,1089,84,545,580,94,75,141,53.2,264,313,84.3,22,27,15,925,159,32,6,14,75,93,34,5,1170,12,12,100,0,0
