"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Frank Magri","Toulouse","CMR","FW","MF",23,5,0,0,0,41
"Adel Mahamoud","Nantes","COM","FW",NA,20,0,0,0,0,0
"Habib Maïga","Metz","CIV","MF","FW",27,0,0,0,0,4
"Ainsley Maitland-Niles","Lyon","ENG","DF","MF",25,1,1,0,1,5
"Radosław Majecki","Monaco","POL","GK",NA,23,1,0,0,0,0
"Jean-Victor Makengo","Lorient","FRA","MF","FW",25,0,0,0,0,7
"Hianga Mananga Mbock","Brest","FRA","MF","FW",23,0,0,0,0,0
"Steve Mandanda","Rennes","FRA","GK",NA,38,1,0,0,0,1
"Orel Mangala","Lyon","BEL","MF",NA,25,0,0,0,0,11
"Faitout Maouassa","Lens","FRA","MF","DF",25,0,0,0,0,2
"Guillermo Maripán","Monaco","CHI","DF",NA,29,0,1,0,1,21
"Marquinhos","Nantes","BRA","FW","MF",20,0,0,0,0,7
"Marquinhos","Paris S-G","BRA","DF",NA,29,1,0,0,0,3
"Jonas Martin","Brest","FRA","MF",NA,33,5,0,0,0,27
"Clinton Mata","Lyon","ANG","DF",NA,30,6,0,0,0,29
"Eliot Matazo","Monaco","BEL","MF",NA,21,2,0,0,0,5
"Nemanja Matić","Rennes","SRB","MF",NA,34,7,0,0,0,14
"Nemanja Matić","Lyon","SRB","MF",NA,34,2,0,0,0,8
"Chrislain Matsima","Clermont Foot","FRA","DF",NA,21,2,0,0,0,12
"Chrislain Matsima","Monaco","FRA","DF",NA,21,2,0,0,0,10
"Azor Matusiwa","Reims","NED","MF",NA,25,3,0,0,0,16
"Azor Matusiwa","Rennes","NED","MF",NA,25,2,0,0,0,8
"Aïman Maurer","Clermont Foot","MAR","MF","FW",18,0,0,0,0,0
"Christian Mawissa","Toulouse","FRA","DF",NA,18,3,0,0,0,13
"Youssef Maziz","Metz","FRA","FW","MF",25,0,0,0,0,1
"Kylian Mbappé","Paris S-G","FRA","FW",NA,24,4,0,0,0,19
"Malick Mbaye","Metz","SEN","MF","FW",19,1,0,0,0,5
"Chancel Mbemba","Marseille","COD","DF",NA,28,1,0,0,0,21
"Facundo Medina","Lens","ARG","DF",NA,24,11,0,0,0,51
"Bamo Meïté","Marseille","CIV","DF",NA,21,1,0,0,0,10
"Bamo Meïté","Lorient","CIV","DF",NA,21,0,0,0,0,0
"Birger Meling","Rennes","NOR","DF",NA,28,0,0,0,0,0
"Nuno Mendes","Paris S-G","POR","DF",NA,21,3,0,0,0,6
"Antoine Mendy","Nice","FRA","DF",NA,19,0,0,0,0,4
"Benjamin Mendy","Lorient","FRA","DF",NA,29,3,0,0,0,12
"Formose Mendy","Lorient","SEN","DF",NA,22,6,0,0,0,16
"Nampalys Mendy","Lens","SEN","MF",NA,31,2,0,0,0,16
"Quentin Merlin","Marseille","FRA","DF",NA,21,1,0,0,0,10
"Quentin Merlin","Nantes","FRA","DF",NA,21,0,0,0,0,10
"Georges Mikautadze","Metz","GEO","FW",NA,22,0,1,0,1,13
"Takumi Minamino","Monaco","JPN","MF",NA,28,4,0,0,0,30
"Lucas Mincarelli","Montpellier","FRA","DF","MF",19,1,1,0,1,4
"Terem Moffi","Nice","NGA","FW",NA,24,4,0,0,0,32
"Mostafa Mohamed","Nantes","EGY","FW",NA,25,3,1,0,1,34
"Dion Moise Sahi","Strasbourg","CIV","MF","FW",21,0,0,0,0,11
"Florent Mollet","Nantes","FRA","MF","FW",31,4,0,0,0,32
"Enzo Mongo","Nantes","FRA","DF",NA,18,0,0,0,0,0
"Diego Moreira","Lyon","POR","FW","MF",18,1,0,0,0,4
"Lebo Mothiba","Strasbourg","RSA","FW",NA,27,0,0,0,0,13
"Steve Mounié","Brest","BEN","FW",NA,28,2,1,0,1,43
"Samuel Moutoussamy","Nantes","COD","MF",NA,26,2,0,0,0,21
"Loris Mouyokolo","Lorient","FRA","DF",NA,22,0,0,0,0,1
"François Mughe","Marseille","CMR","MF","DF",19,1,0,0,0,3
"Nordi Mukiele","Paris S-G","FRA","DF",NA,25,2,0,0,0,14
"Marshall Munetsi","Reims","ZIM","MF",NA,27,5,0,0,0,45
"Yvon Mvogo","Lorient","SUI","GK",NA,29,1,0,0,0,0
"Joel Mvuka","Lorient","NOR","DF","FW",20,1,0,0,0,1
"Junior Mwanga","Strasbourg","FRA","MF","FW",20,3,0,0,0,22
"Kévin N'Doram","Metz","FRA","MF",NA,27,4,0,0,0,29
"Bilal Nadir","Marseille","FRA","MF","FW",19,1,0,0,0,4
"Mahamadou Nagida","Rennes","CMR","DF",NA,18,0,0,0,0,0
"Keito Nakamura","Reims","JPN","FW","MF",23,1,0,0,0,24
"Youssouf Ndayishimiye","Nice","BDI","MF","DF",24,6,1,0,1,15
"Bassirou Ndiaye","Lorient","SEN","FW",NA,21,0,0,0,0,5
"Iliman Ndiaye","Marseille","SEN","FW","MF",23,0,1,0,1,22
"Massamba Ndiaye","Clermont Foot","SEN","GK",NA,21,0,0,0,0,0
"Rassoul Ndiaye","Le Havre","SEN","MF","FW",21,4,2,1,3,11
"Cher Ndour","Paris S-G","ITA","MF",NA,19,1,0,0,0,1
"Joseph Nduquidi","Metz","FRA","MF","DF",18,2,0,0,0,13
"Loïc Nego","Le Havre","HUN","DF","MF",32,3,0,0,0,22
"Steve Ngoura","Le Havre","FRA","FW","MF",18,0,0,0,0,6
"Shamar Nicholson","Clermont Foot","JAM","FW",NA,26,2,0,0,0,20
"Rasmus Nicolaisen","Toulouse","DEN","DF",NA,26,6,1,1,2,45
"Arnaud Nordin","Montpellier","FRA","FW","MF",25,1,1,0,1,14
"Ernest Nuamah","Lyon","GHA","FW","MF",19,4,0,0,0,50
